,Siruta,Localitate,Judet,Populatie,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
138,12224,Sepreus,AR,2907,0.0,321547.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,12242,Sicula,AR,4277,10357.0,0.0,28898513.0,0.0,0.0,0.0,0.0,0.0,0.0
140,12288,Silindia,AR,875,0.0,0.0,152937.0,0.0,0.0,0.0,0.0,0.0,0.0
141,12340,Simand,AR,4433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40010.0,0.0
142,12368,Siria,AR,9083,259463.0,0.0,0.0,0.0,0.0,0.0,4245452.0,0.0,0.0
143,12402,Sistarovat,AR,319,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,12457,Taut,AR,1665,0.0,0.0,210517.0,0.0,0.0,0.0,0.0,0.0,0.0
145,12509,Tarnova,AR,6203,200106.0,0.0,0.0,89400.0,0.0,0.0,0.0,0.0,0.0
146,12572,Varadia De Mures,AR,1685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147,12643,Vinga,AR,6866,63531.0,14149436.0,6725.0,0.0,0.0,0.0,0.0,0.0,0.0
148,12689,Varfurile,AR,2681,242307.0,0.0,1522153.0,0.0,0.0,0.0,0.0,0.0,0.0
149,12778,Zabrani,AR,4607,31714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,12812,Zarand,AR,2745,280199.0,0.0,4708847.0,0.0,0.0,0.0,0.0,0.0,0.0
151,12849,Zerind,AR,1443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,12876,Zimandu Nou,AR,4900,477684.0,0.0,1395007.0,114197.0,0.0,527284283.0,0.0,3025892.0,0.0
153,12912,Dorobanti,AR,1609,461645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,12920,Frumuseni,AR,2765,427970.0,190395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,12938,Zadareni,AR,2838,0.0,0.0,105071.0,0.0,0.0,0.0,0.0,98695.0,0.0
156,13169,Municipiul Pitesti,AG,176803,418712026.0,125990249.0,46803413.0,28539875.0,174918256.0,934048988.0,1655140.0,44990761.0,81395891.0
157,13187,Bascov,AG,10523,120998679.0,16012269.0,1585324.0,10484.0,0.0,412346129.0,0.0,2634472.0,763359.0
158,13276,Bradu,AG,7714,2027077.0,221249.0,3977256.0,240606.0,681624.0,0.0,0.0,1460913949.0,0.0
159,13301,Oras Mioveni,AG,34559,1532138.0,13950.0,1132090.0,0.0,0.0,20246431612.0,768.0,1950686.0,2909268.0
160,13365,Maracineni,AG,5250,146348158.0,11889091.0,11037791.0,6483201.0,0.0,202410222.0,0.0,103257.0,0.0
161,13392,Oras Stefanesti,AG,15238,160475238.0,1179100.0,1879675.0,0.0,20382.0,16993647.0,1353028.0,431998.0,944897.0
162,13490,Municipiul Campulung,AG,36955,61985479.0,11897034.0,12831822.0,60234751.0,0.0,94849782.0,4654215.0,738852.0,2992743.0
163,13524,Valea Mare Pravat,AG,4278,85965.0,0.0,587164.0,0.0,0.0,190912.0,0.0,88405.0,0.0
164,13622,Municipiul Curtea De Arges,AG,33439,390664636.0,49781813.0,59667933.0,0.0,0.0,11023783.0,440943721.0,342834.0,1960683.0
165,13668,Oras Costesti,AG,10642,79192423.0,2579639.0,4004644.0,8405480.0,0.0,73814158.0,0.0,0.0,0.0
166,13757,Oras Topoloveni,AG,9439,39614022.0,5259786.0,0.0,0.0,0.0,88482138.0,0.0,0.0,0.0
167,13819,Albestii De Arges,AG,6057,1568448.0,10950.0,7610501.0,0.0,1543.0,0.0,74832.0,0.0,0.0
168,13891,Albestii De Muscel,AG,1574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,13935,Albota,AG,3929,21822.0,0.0,13235637.0,0.0,35951.0,550559.0,0.0,10850221.0,0.0
170,13999,Aninoasa,AG,3350,0.0,0.0,5518599.0,0.0,0.0,0.0,0.0,0.0,0.0
171,14049,Arefu,AG,2464,0.0,216599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,14085,Babana,AG,2899,326309.0,0.0,706208.0,0.0,0.0,0.0,0.0,0.0,0.0
173,14165,Baiculesti,AG,6110,30040.0,147623.0,51089723.0,0.0,0.0,0.0,0.0,1456230.0,0.0
